Year,Month,Day,Title,Link,List,Genres,Budget,Box office
2004,1,9.0,Chasing Liberty,/wiki/Chasing_Liberty,"['romantic comedy', '$23 million[1]', '$12 million[1]']",romantic comedy,$23 million[1],$12 million[1]
2004,1,16.0,Along Came Polly,/wiki/Along_Came_Polly,"[' romantic comedy', '$42 million', '$178.3 million[1]']", romantic comedy,$42 million,$178.3 million[1]
2004,1,16.0,Torque,/wiki/Torque_(film),"[' action film directed by Joseph Kahn (in his feature', '$40 million[1]', '$46.5 million[1]']", action film directed by Joseph Kahn (in his feature,$40 million[1],$46.5 million[1]
2004,1,22.0,D.E.B.S.,/wiki/D.E.B.S._(2004_film),"[' action comedy', '$3.5 million[2]', '$97,446[3]']", action comedy,$3.5 million[2],"$97,446[3]"
2004,1,23.0,The Butterfly Effect,/wiki/The_Butterfly_Effect,"[' science fiction thriller', '$13 million[1]', '$96.8 million[2]']", science fiction thriller,$13 million[1],$96.8 million[2]
2004,1,23.0,Win a Date with Tad Hamilton!,/wiki/Win_a_Date_with_Tad_Hamilton!,"[' romantic comedy', '$22 million[2]', '$21.3 million[2]']", romantic comedy,$22 million[2],$21.3 million[2]
2004,1,30.0,The Big Bounce,/wiki/The_Big_Bounce_(2004_film),"[' comedy heist', '$50 million[1]', '$6.8 million[2]']", comedy heist,$50 million[1],$6.8 million[2]
2004,1,30.0,You Got Served,/wiki/You_Got_Served,"[' dance drama', '$8 million[2]', '$50.6 million[2]']", dance drama,$8 million[2],$50.6 million[2]
2004,2,6.0,Barbershop 2: Back in Business,/wiki/Barbershop_2:_Back_in_Business,"[' comedy-drama', '$18–30 million[2][3]', '$66 million[3]']", comedy-drama,$18–30 million[2][3],$66 million[3]
2004,2,6.0,Catch That Kid,/wiki/Catch_That_Kid,"['family action comedy', '$12 million[3]', '$17 million[3]']",family action comedy,$12 million[3],$17 million[3]
2004,2,6.0,Miracle,/wiki/Miracle_(2004_film),"[' sports', '$28 million[1]', '$64.5 million[1]']", sports,$28 million[1],$64.5 million[1]
2004,2,13.0,50 First Dates,/wiki/50_First_Dates,"[' romantic comedy', '$75 million[1]', '$198.5 million[1]']", romantic comedy,$75 million[1],$198.5 million[1]
2004,2,20.0,Against the Ropes,/wiki/Against_the_Ropes,"[' sports drama', '$39 million', '$6.6 million']", sports drama,$39 million,$6.6 million
2004,2,20.0,Confessions of a Teenage Drama Queen,/wiki/Confessions_of_a_Teenage_Drama_Queen,"[' teen musical comedy', '$15 million', '$33.3 million[1]']", teen musical comedy,$15 million,$33.3 million[1]
2004,2,20.0,Welcome to Mooseport,/wiki/Welcome_to_Mooseport,"[' political satire comedy film directed by Donald Petrie, and starring Ray Romano and Gene Hackman in his final', '$30 million[2]', '$14.6 million[2]']"," political satire comedy film directed by Donald Petrie, and starring Ray Romano and Gene Hackman in his final",$30 million[2],$14.6 million[2]
2004,2,25.0,The Passion of the Christ,/wiki/The_Passion_of_the_Christ,"[' epic biblical drama', '$30 million[2]', '$612.1 million[2]']", epic biblical drama,$30 million[2],$612.1 million[2]
2004,2,27.0,Club Dread,/wiki/Club_Dread,"['comedy slasher', '$8.6 million', '$7.6 million[2]']",comedy slasher,$8.6 million,$7.6 million[2]
2004,3,5.0,Hidalgo,/wiki/Hidalgo_(film),"['epic biographical western', '$100 million', '$108.1 million']",epic biographical western,$100 million,$108.1 million
2004,3,5.0,Starsky & Hutch,/wiki/Starsky_%26_Hutch_(film),"[' buddy cop action comedy', '$60 million[2]', '$170 million[2]']", buddy cop action comedy,$60 million[2],$170 million[2]
2004,3,11.0,In My Country,/wiki/In_My_Country_(2004_film),"['drama', '$12 million US[citation needed]', '$1,491,434[1]']",drama,$12 million US[citation needed],"$1,491,434[1]"
2004,3,12.0,Agent Cody Banks 2: Destination London,/wiki/Agent_Cody_Banks_2:_Destination_London,"[' action comedy buddy', '$26 million[2]', '$28.8 million[2]']", action comedy buddy,$26 million[2],$28.8 million[2]
2004,3,12.0,Secret Window,/wiki/Secret_Window,"[' psychological thriller', '$40 million', '$92.9 million']", psychological thriller,$40 million,$92.9 million
2004,3,12.0,Spartan,/wiki/Spartan_(film),"[' action thriller', '$23 million', '$8.11 million[1]']", action thriller,$23 million,$8.11 million[1]
2004,3,19.0,Dawn of the Dead,/wiki/Dawn_of_the_Dead_(2004_film),"['action horror', '$26 million[4]', '$102.3 million[4]']",action horror,$26 million[4],$102.3 million[4]
2004,3,19.0,Taking Lives,/wiki/Taking_Lives_(film),"[' psychological thriller', '$45 million[1]', '$65.4 million']", psychological thriller,$45 million[1],$65.4 million
2004,3,26.0,Jersey Girl,/wiki/Jersey_Girl_(2004_film),"[' comedy-drama', '$35 million[1]', '$35.5 million[1]']", comedy-drama,$35 million[1],$35.5 million[1]
2004,3,26.0,The Ladykillers,/wiki/The_Ladykillers_(2004_film),"[' black comedy crime thriller', '$35 million', '$76.7 million']", black comedy crime thriller,$35 million,$76.7 million
2004,3,26.0,Scooby-Doo 2: Monsters Unleashed,/wiki/Scooby-Doo_2:_Monsters_Unleashed,"[' adventure comedy', '$25–80 million[2][3]', '$181.2\xa0million[4]']", adventure comedy,$25–80 million[2][3],$181.2 million[4]
2004,7,2.0,Before Sunset,/wiki/Before_Sunset,"[' romantic drama', '$2–2.7 million[2][3]', '$15.8 million[3]']", romantic drama,$2–2.7 million[2][3],$15.8 million[3]
